 Name                     	  bandwidth	frequency 	mode
267	8330	124650000	2
 268 SHJ APP              	8330	124675000	2
269	8330	124700000	2
270	8330	124725000	2
271	8330	124750000	2
272	8330	124775000	2
273	8330	124800000	2
274	8330	124825000	2
275	8330	124850000	2
276	8330	124875000	2
 277 DXB APP              	8330	124900000	2
278	8330	124925000	2
279	8330	124950000	2
280	8330	124975000	2
281	8330	125000000	2
282	8330	125025000	2
283	8330	125050000	2
284	8330	125075000	2
 285 AUH ATIS             	8330	125100000	2
286	8330	125125000	2
287	8330	125150000	2
288	8330	125175000	2
289	8330	125200000	2
290	8330	125225000	2
291	8330	125250000	2
292	8330	125275000	2
293	8330	125300000	2
294	8330	125325000	2
295	8330	125350000	2
296	8330	125375000	2
297	8330	125400000	2
298	8330	125425000	2
 299 FJR DEP              	8330	125450000	2
300	8330	125475000	2
301	8330	125500000	2
302	8330	125525000	2
303	8330	125550000	2
304	8330	125575000	2
305	8330	125600000	2
306	8330	125625000	2
307	8330	125650000	2
308	8330	125675000	2
309	8330	125700000	2
310	8330	125725000	2
311	8330	125750000	2
312	8330	125775000	2
313	8330	125800000	2
314	8330	125825000	2
315	8330	125850000	2
316	8330	125875000	2
317	8330	125900000	2
318	8330	125925000	2
319	8330	125950000	2
320	8330	125975000	2
321	8330	126000000	2
 322 Minhad App           	8330	126025000	2
 323 xxx ATIS             	8330	126050000	2
324	8330	126075000	2
325	8330	126100000	2
326	8330	126125000	2
327	8330	126150000	2
328	8330	126175000	2
 329 DXB Dep              	8330	126200000	2
330	8330	126225000	2
331	8330	126250000	2
 332 DXB ATIS ARR         	8330	126275000	2
333	8330	126300000	2
334	8330	126325000	2
335	8330	126350000	2
336	8330	126375000	2
337	8330	126400000	2
338	8330	126425000	2
339	8330	126450000	2
 340 xxx ATIS             	8330	126475000	2
341	8330	126500000	2
342	8330	126525000	2
343	8330	126550000	2
344	8330	126575000	2
 345 xxx ATIS             	8330	126600000	2
346	8330	126625000	2
 347 xxx ATIS             	8330	126650000	2
348	8330	126675000	2
349	8330	126700000	2
350	8330	126725000	2
351	8330	126750000	2
 352 DXB TWR              	8330	126775000	2
 353 MCT ATIS             	8330	126800000	2
354	8330	126825000	2
355	8330	126850000	2
356	8330	126875000	2
357	8330	126900000	2
358	8330	126925000	2
359	8330	126950000	2
360	8330	126975000	2
361	8330	127000000	2
362	8330	127025000	2
363	8330	127050000	2
364	8330	127075000	2
365	8330	127100000	2
366	8330	127125000	2
367	8330	127150000	2
368	8330	127175000	2
 369 BIA                  	8330	127200000	2
370	8330	127225000	2
371	8330	127250000	2
372	8330	127275000	2
373	8330	127300000	2
374	8330	127325000	2
375	8330	127350000	2
376	8330	127375000	2
377	8330	127400000	2
378	8330	127425000	2
379	8330	127450000	2
380	8330	127475000	2
381	8330	127500000	2
382	8330	127525000	2
383	8330	127550000	2
384	8330	127575000	2
385	8330	127600000	2
386	8330	127625000	2
387	8330	127650000	2
388	8330	127675000	2
389	8330	127700000	2
390	8330	127725000	2
391	8330	127750000	2
392	8330	127775000	2
393	8330	127800000	2
394	8330	127825000	2
395	8330	127850000	2
396	8330	127875000	2
 397 DXB Direct           	8330	127900000	2
398	8330	127925000	2
399	8330	127950000	2
400	8330	127975000	2
 401 KIH ATIS             	8330	128000000	2
402	8330	128025000	2
403	8330	128050000	2
404	8330	128075000	2
405	8330	128100000	2
406	8330	128125000	2
407	8330	128150000	2
408	8330	128175000	2
409	8330	128200000	2
410	8330	128225000	2
411	8330	128250000	2
