 Name                     	  bandwidth	frequency 	mode
3864	25000	396600000	7
3865	25000	396625000	7
3866	25000	396650000	7
3867	25000	396675000	7
3868	25000	396700000	7
3869	25000	396725000	7
3870	25000	396750000	7
3871	25000	396775000	7
3872	25000	396800000	7
3873	25000	396825000	7
3874	25000	396850000	7
3875	25000	396875000	7
3876	25000	396900000	7
3877	25000	396925000	7
3878	25000	396950000	7
3879	25000	396975000	7
3880	25000	397000000	7
3881	25000	397025000	7
3882	25000	397050000	7
3883	25000	397075000	7
3884	25000	397100000	7
3885	25000	397125000	7
3886	25000	397150000	7
3887	25000	397175000	7
3888	25000	397200000	7
3889	25000	397225000	7
3890	25000	397250000	7
3891	25000	397275000	7
3892	25000	397300000	7
3893	25000	397325000	7
3894	25000	397350000	7
3895	25000	397375000	7
3896	25000	397400000	7
3897	25000	397425000	7
3898	25000	397450000	7
3899	25000	397475000	7
3900	25000	397500000	7
3901	25000	397525000	7
3902	25000	397550000	7
3903	25000	397575000	7
3904	25000	397600000	7
3905	25000	397625000	7
3906	25000	397650000	7
3907	25000	397675000	7
3908	25000	397700000	7
3909	25000	397725000	7
3910	25000	397750000	7
3911	25000	397775000	7
3912	25000	397800000	7
3913	25000	397825000	7
3914	25000	397850000	7
3915	25000	397875000	7
3916	25000	397900000	7
3917	25000	397925000	7
3918	25000	397950000	7
3919	25000	397975000	7
3920	25000	398000000	7
3921	25000	398025000	7
3922	25000	398050000	7
3923	25000	398075000	7
3924	25000	398100000	7
3925	25000	398125000	7
3926	25000	398150000	7
3927	25000	398175000	7
3928	25000	398200000	7
3929	25000	398225000	7
3930	25000	398250000	7
3931	25000	398275000	7
3932	25000	398300000	7
3933	25000	398325000	7
3934	25000	398350000	7
3935	25000	398375000	7
3936	25000	398400000	7
3937	25000	398425000	7
3938	25000	398450000	7
3939	25000	398475000	7
3940	25000	398500000	7
3941	25000	398525000	7
3942	25000	398550000	7
3943	25000	398575000	7
3944	25000	398600000	7
3945	25000	398625000	7
3946	25000	398650000	7
3947	25000	398675000	7
3948	25000	398700000	7
3949	25000	398725000	7
3950	25000	398750000	7
3951	25000	398775000	7
3952	25000	398800000	7
3953	25000	398825000	7
3954	25000	398850000	7
3955	25000	398875000	7
3956	25000	398900000	7
3957	25000	398925000	7
3958	25000	398950000	7
3959	25000	398975000	7
3960	25000	399000000	7
3961	25000	399025000	7
3962	25000	399050000	7
3963	25000	399075000	7
3964	25000	399100000	7
3965	25000	399125000	7
3966	25000	399150000	7
3967	25000	399175000	7
3968	25000	399200000	7
3969	25000	399225000	7
3970	25000	399250000	7
3971	25000	399275000	7
3972	25000	399300000	7
3973	25000	399325000	7
3974	25000	399350000	7
3975	25000	399375000	7
3976	25000	399400000	7
3977	25000	399425000	7
3978	25000	399450000	7
3979	25000	399475000	7
3980	25000	399500000	7
3981	25000	399525000	7
3982	25000	399550000	7
3983	25000	399575000	7
3984	25000	399600000	7
3985	25000	399625000	7
3986	25000	399650000	7
3987	25000	399675000	7
3988	25000	399700000	7
3989	25000	399725000	7
3990	25000	399750000	7
3991	25000	399775000	7
3992	25000	399800000	7
3993	25000	399825000	7
3994	25000	399850000	7
3995	25000	399875000	7
3996	25000	399900000	7
3997	25000	399925000	7
3998	25000	399950000	7
3999	25000	399975000	7

