Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
2595.2;"USB";"STANAG";"loud, 12AM";;"T1";;;;;;
2627;"USB";"FAX VMC AUS";"11PM";;"T1";;;;;;
2730.5;"USB";"STANAG";"10PM";;"T1";;;;;;
3330;"USB";"CHU CAN";"time signal";;"T1";;;;;;
3365;"AM";"R. Cultura, BRA";"7AM";;"T1";;;;;;
3392;"CWN";"CW";"11PM";;"T1";;;;;;
3394;"CW";"SITOR";"11PM";;"T1";;;;;;
3407;"USB";"VOLMET";"12AM";;"T1";;;;;;
3438.5;"USB";"FSK";"1AM";;"T1";;;;;;
3467;"USB";"MWARA SP";"Major World Air Route Areas, South Pacific";;"T1";;;;;;
3576;"USB";"JT65";;;"T2";;;;;;
3580.15;"USB";"PSK31";;;"T2";;;;;;
3584.5;"USB";"FAX JPN?";"1AM";;"T1";;;;;;
3592.6;"USB";"WSPR";;;"T2";;;;;;
3594;"CWN";"marker beacons";"watchlist";;"T1";;;;;;
3621.5;"USB";"JMH JPN";"FAX, 1AM";;"T1";;;;;;
3696;"USB";"FSK";"non-ham, 1AM";;"T1";;;;;;
3756.63;"CWN";"The Pip";"5AM";;"T1";;;;;;
3810;"LSB";"HD2IOA";"watchlist, time signal, 0000-1200Z";;"T1";;;;;;
3829.18;"CWN";"Squeaky Wheel L";"5AM";;"T1";;;;;;
3830.45;"CWN";"Squeaky Wheel H";"5AM";;"T1";;;;;;
3945;"AM";"R. Vanuatu";"0700-2000Z";;"T1";;;;;;
4077;"USB";"STANAG 4197";"4-tone + burst, 12AM";;"T1";;;;;;
4137.6;"USB";"STANAG 4197";"4-tone + burst, 12AM";;"T1";;;;;;
4149.5;"CW";"CW";"12AM";;"T1";;;;;;
4153;"USB";"slot machine JPN";"12AM";;"T1";;;;;;
4155.1;"USB";"STANAG";"intermittent, 6AM";;"T1";;;;;;
4158;"CW";"SITOR";"12AM";;"T1";;;;;;
4161;"USB";"SITOR";"7PM";;"T1";;;;;;
4165;"USB";"STANAG";"10AM";;"T1";;;;;;
4177;"USB";"FSK";"6PM RY testing +/- freq";;"T1";;;;;;
4198;"CWN";"CW";"12AM";;"T1";;;;;;
4200;"USB";"FSK";"5AM";;"T1";;;;;;
4202.5;"CW";"FSK";"loud, 6AM";;"T1";;;;;;
4206;"USB";"intermittent FSK";"loud, 6PM";;"T1";;;;;;
4209.5;"CW";"SITOR";"11PM";;"T1";;;;;;
4212;"CW";"XSQ CHN";"12AM";;"T1";;;;;;
