Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
8331.5;"USB";"PACTOR";"5PM";;"T1";;;;;;
8344;"CW";"FSK";"weak, 10PM";;"T1";;;;;;
8345;"CWN";"CW";"6PM";;"T1";;;;;;
8363;"CWN";"CW";"10PM";;"T1";;;;;;
8372;"CW";"CW";"11PM";;"T1";;;;;;
8376.5;"CW";"SITOR";"4AM";;"T1";;;;;;
8379.5;"CW";"SITOR";"9PM";;"T1";;;;;;
8385.5;"USB";"SITOR";"10PM";;"T1";;;;;;
8395;"CW";"SITOR";"9PM";;"T1";;;;;;
8414;"USB";"SITOR";"6PM";;"T1";;;;;;
8416.5;"CW";"?fsk";"10PM";;"T1";;;;;;
8417.4;"CWN";"XSV CHN";"10PM";;"T1";;;;;;
8419.5;"CW";"SITOR";"9PM";;"T1";;;;;;
8421;"CW";"WLO USA";"8PM";;"T1";;;;;;
8424;"CWN";"SVO GRC";"5PM";;"T1";;;;;;
8425.5;"CW";"XSG CHN";;;"T1";;;;;;
8431;"CW";"TAH TUR";"5PM";;"T1";;;;;;
8431;"USB";"FSK";"8AM";;"T1";;;;;;
8433;"CW";"XSG CHN";;;"T1";;;;;;
8434;"CW";"TAH TUR";"8AM";;"T1";;;;;;
8435;"CW";"XSG CHN";;;"T1";;;;;;
8440.5;"USB";"PACTOR";"8PM";;"T1";;;;;;
8446.5;"CW";"HEB CHE";"5PM";;"T1";;;;;;
8453.3;"USB";"FUG8 FRA";"STANAG 4285, 6PM";;"T1";;;;;;
8457;"CWN";"CW";"8PM";;"T1";;;;;;
8458;"USB";"FAX";"11PM";;"T1";;;;;;
8460;"CWN";"CW";"weak, 8PM";;"T1";;;;;;
8463;"USB";"ESP STANAG 4285";"5PM";;"T1";;;;;;
8466;"USB";"FAX";"10PM";;"T1";;;;;;
8469.3;"USB";"STANAG";"6PM";;"T1";;;;;;
8473;"CW";"FSK";"10PM";;"T1";;;;;;
8475.5;"USB";"STANAG";"6PM";;"T1";;;;;;
8478.8;"USB";"FUF Martinique";"STANAG 4285, 11PM";;"T1";;;;;;
8484;"CW";"HLG KOR";;;"T1";;;;;;
8484.8;"USB";"STANAG";"6PM";;"T1";;;;;;
8488.5;"USB";"STANAG";"6PM";;"T1";;;;;;
8492.5;"USB";"STANAG";"6PM";;"T1";;;;;;
8494.8;"CWN";"P marker";"Kaliningrad RUS, 8PM";;"T1";;;;;;
8495.2;"CWN";"F marker";"Vladivostok RUS, weak, 12AM";;"T1";;;;;;
8495.3;"CWN";"K marker";"Petropavlovsk-Kamchatsky RUS, 10PM";;"T1";;;;;;
8497.8;"CWN";"L marker";"RUS";;"T1";;;;;;
8503;"USB";"FAX NMG";"6PM";;"T1";;;;;;
8508;"CW";"FSK";"5PM";;"T1";;;;;;
8517.3;"USB";"STANAG";"6PM";;"T1";;;;;;
8517.5;"USB";"FSK";"6PM";;"T1";;;;;;
8537;"USB";"FSK";;;"T1";;;;;;
8540.3;"USB";"STANAG";"6PM";;"T1";;;;;;
8546;"USB";"FSK";"7AM";;"T1";;;;;;
8548.5;"USB";"FSK";"4AM";;"T1";;;;;;
8551;"USB";"8-chan FSK JPN";"6AM";;"T1";;;;;;
8552.9;"USB";"STANAG 4285 MYS";"11PM";;"T1";;;;;;
8557;"USB";"FSK";"7PM";;"T1";;;;;;
8564;"USB";"FSK";"9PM";;"T1";;;;;;
8565.8;"USB";"FSK";"5PM";;"T1";;;;;;
8588;"USB";"slot machine JPN";;;"T1";;;;;;
8595.5;"USB";"STANAG";"6PM";;"T1";;;;;;
8600;"CW";"?CW";;;"T1";;;;;;
8600.7;"USB";"STANAG 4415?";"5PM";;"T1";;;;;;
8608;"CW";"FSK";"11PM";;"T1";;;;;;
8612;"CW";"SITOR tone";"continuous tone, 11PM";;"T1";;;;;;
8612;"CWN";"CW";"VVV, 11PM";;"T1";;;;;;
8617;"CW";"FSK";"11PM";;"T1";;;;;;
8625.3;"USB";"FUM Tahiti";"STANAG 4285";;"T1";;;;;;
8632.9;"USB";"STANAG";"6PM";;"T1";;;;;;
8636;"CW";"HLW KOR";;;"T1";;;;;;
8646.3;"USB";"STANAG 4285";;;"T1";;;;;;
8653;"USB";"FSK";;;"T1";;;;;;
8655;"CW";"FSK";"10PM";;"T1";;;;;;
8657;"USB";"FAX JPN";;;"T1";;;;;;
8665;"CWN";"XSG CHN";"fast CW, 9PM";;"T1";;;;;;
8675;"USB";"FSK";"6PM";;"T1";;;;;;
8676.8;"USB";"STANAG";"9PM";;"T1";;;;;;
8681;"USB";"FAX NMC";;;"T1";;;;;;
8687.5;"CW";"SITOR WHL";"eventually CW ident, 6PM";;"T1";;;;;;
8693;"USB";"FSK";"10PM";;"T1";;;;;;
8697.7;"USB";"STANAG";"6PM";;"T1";;;;;;
8701.3;"USB";"CTA PRT";"STANAG 4285, 6PM";;"T1";;;;;;
8703.5;"USB";"slot machine JPN";;;"T1";;;;;;
8743;"USB";"Bangkok Meteo";"with interval jingle, 11PM, 7AM";;"T1";;;;;;
8758;"CW";"FSK";"11PM";;"T1";;;;;;
8758.4;"USB";"CIS-12 RUS";"9PM";;"T1";;;;;;
8764;"USB";"USCG weather";;;"T1";;;;;;
8780;"USB";"PSK ISR";"4-tone intro, Israel navy, 6PM";;"T1";;;;;;
8788;"USB";"WX";"6PM";;"T1";;;;;;
8799;"CW";"FSK";"11PM";;"T1";;;;;;
8799.4;"USB";"CIS-12 RUS";"9PM";;"T1";;;;;;
8828;"USB";"VOLMET";"5PM";;"T1";;;;;;
8831;"USB";"MWARA";"11PM";;"T1";;;;;;
8867;"USB";"MWARA SP";"Major World Air Route Areas, South Pacific";;"T1";;;;;;
8891;"USB";"MWARA NAT-D";"Major World Air Route Areas, 6PM";;"T1";;;;;;
8894;"USB";"HFDL";"5PM";;"T1";;;;;;
8912;"USB";"HFDL";"5PM";;"T1";;;;;;
8927;"USB";"HFDL";"5PM";;"T1";;;;;;
8936;"USB";"HFDL";"8PM";;"T1";;;;;;
8942;"USB";"HFDL";"5PM";;"T1";;;;;;
8948;"USB";"HFDL";"5PM";;"T1";;;;;;
8957;"USB";"HFDL";"8PM";;"T1";;;;;;
8977;"USB";"HFDL";"GS-03, 5PM";;"T1";;;;;;
8992;"USB";"HF-GCS";"5PM";;"T1";;;;;;
9006;"USB";"LINK-11";"10PM";;"T1";;;;;;
9023;"USB";"4-polytone";"6PM";;"T1";;;;;;
9025;"USB";"ALE HF-GCS";"5PM";;"T1";;;;;;
9054;"CWN";"CW";"10PM";;"T1";;;;;;
9056;"USB";"STANAG";"6PM";;"T1";;;;;;
9065;"AM";"HM01 CUB";"845PM";;"T1";;;;;;
9073.5;"USB";"FSK";"9PM";;"T1";;;;;;
9074;"CW";"?CW";;;"T1";;;;;;
9084;"USB";"FSK";"5PM";;"T1";;;;;;
9094;"USB";"STANAG";"9PM";;"T1";;;;;;
9098.7;"USB";"STANAG";"5PM";;"T1";;;;;;
9111;"USB";"FSK";"5PM";;"T1";;;;;;
9121.5;"USB";"LINK-11";"6PM";;"T1";;;;;;
9139;"USB";"FSK";"9PM";;"T1";;;;;;
9155;"AM";"HM01 CUB";"10PM";;"T1";;;;;;
9164;"USB";"HLL2 KOR";"FAX";;"T1";;;;;;
9169;"CW";"FSK";"10PM";;"T1";;;;;;
9240;"AM";"HM01 CUB";"9PM";;"T1";;;;;;
9294;"CW";"FSK";"5PM";;"T1";;;;;;
9323;"USB";"E07 numbers";"Sat 0720Z";;"T1";;;;;;
9326;"CW";"?CW";;;"T1";;;;;;
9330;"AM";"HM01 CUB";"9PM";;"T1";;;;;;
9354;"CW";"?CW";;;"T1";;;;;;
9580;"AM";"R. Australia";;;"T1";;;;;;
9780;"USB";"DRM";"5PM";;"T1";;;;;;
9898;"CW";"FSK";"6PM";;"T1";;;;;;
9898.5;"USB";"SuperDARN radar";"8PM";;"T1";;;;;;
9903.5;"USB";"FSK";"4PM";;"T1";;;;;;
9910.9;"USB";"STANAG 4285";"9PM";;"T1";;;;;;
9959;"USB";"FSK";"9PM";;"T1";;;;;;
9981.5;"USB";"FAX KVM70 HI";"6PM";;"T1";;;;;;
9989;"CW";"FSK";"9PM";;"T1";;;;;;
9996;"CWN";"RWM RUS";"time signal, 5PM, 630AM";;"T1";;;;;;
10000;"AM";"WWVH / WWV";"time signals";;"T1";;;;;;
10000;"AM";"BPM";"time signal";;"T1";;;;;;
10024;"USB";"MWARA SAM";"11PM";;"T1";;;;;;
10027;"USB";"HFDL";"6PM";;"T1";;;;;;
10045;"USB";"MWARA";"5PM";;"T1";;;;;;
10051;"USB";"VOLMET NY";"11PM";;"T1";;;;;;
10083.95;"USB";"HFDL";"11PM";;"T1";;;;;;
10086.95;"USB";"HFDL";"12AM";;"T1";;;;;;
10099.8;"USB";"FSK";"5PM";;"T1";;;;;;
10138;"USB";"JT65";;;"T2";;;;;;
10138.7;"USB";"WSPR";;;"T2";;;;;;
10142.15;"USB";"PSK31";;;"T2";;;;;;
10152;"USB";"NAA ME";"FSK";;"T1";;;;;;
10158;"CW";"FSK";"11PM";;"T1";;;;;;
10168;"CW";"M12 CW";"4AM";;"T1";;;;;;
10178.5;"USB";"SuperDARN radar";"1030PM";;"T1";;;;;;
10186.4;"USB";"FUG FRA";"STANAG 4285, 6PM";;"T1";;;;;;
10195.4;"USB";"STANAG";"5PM";;"T1";;;;;;
10198.5;"USB";"SuperDARN radar";"11PM";;"T1";;;;;;
10253.75;"CW";"FSK";"FSK-CW ID, 8PM";;"T1";;;;;;
10285;"USB";"FSK";"8PM";;"T1";;;;;;
10304;"CW";"FSK";"5PM";;"T1";;;;;;
10309;"USB";"FSK";"2AM";;"T1";;;;;;
10318.5;"USB";"FSK";"6PM";;"T1";;;;;;
10333;"CW";"FSK";"weak, 8PM";;"T1";;;;;;
10334;"CW";"FSK";"8PM";;"T1";;;;;;
10345;"AM";"HM01 CUB";"6PM";;"T1";;;;;;
10352.5;"USB";"STANAG";"8PM";;"T1";;;;;;
10362;"CW";"FSK";"11PM";;"T1";;;;;;
10373;"CW";"CW";"11PM";;"T1";;;;;;
10373.5;"USB";"STANAG";"5PM";;"T1";;;;;;
10400;"CW";"FSK";"11PM";;"T1";;;;;;
10405;"USB";"STANAG 4529";"11PM";;"T1";;;;;;
10408.35;"CW";"FSK";"11PM";;"T1";;;;;;
10421.3;"USB";"STANAG";"12AM";;"T1";;;;;;
10429;"USB";"FSK";"9PM";;"T1";;;;;;
10543;"CW";"CW";"5PM";;"T1";;;;;;
10548;"CW";"FSK";"11PM";;"T1";;;;;;
10554;"USB";"FAX";"11PM";;"T1";;;;;;
10559.4;"USB";"STANAG";"11PM";;"T1";;;;;;
10584;"CW";"FSK";"11PM";;"T1";;;;;;
10595.3;"USB";"STANAG";"8AM";;"T1";;;;;;
10620.5;"USB";"STANAG";"5PM";;"T1";;;;;;
10632;"CW";"FSK";"11PM";;"T1";;;;;;
10712;"CW";"FSK";"5PM";;"T1";;;;;;
10829;"USB";"FSK";"9PM";;"T1";;;;;;
10872.2;"CWN";"F marker";"Vladivostok RUS, very weak, 11PM";;"T1";;;;;;
10894;"USB";"FSK";"11PM";;"T1";;;;;;
10919;"USB";"digital";"7AM";;"T1";;;;;;
10922.35;"CW";"FSK";"7AM";;"T1";;;;;;
10977;"USB";"STANAG 4197";"4-tone + burst, 12AM";;"T1";;;;;;
10990;"USB";"MS-188-110 16-tone";"with low-side pilot tone, 9PM";;"T1";;;;;;
11011.4;"USB";"CIS-12 RUS";"12AM";;"T1";;;;;;
11029;"USB";"FAX VMC AUS";"10PM";;"T1";;;;;;
11038;"USB";"FSK";"11PM";;"T1";;;;;;
11089;"USB";"FAX";"10PM";;"T1";;;;;;
11104;"CW";"FSK";"12AM";;"T1";;;;;;
11117;"USB";"STANAG 4197";"4-tone + burst, 12AM";;"T1";;;;;;
11120;"CW";"FSK";"2AM";;"T1";;;;;;
11146.5;"USB";"CIS-12 RUS";"signed out with CW id, 1030PM";;"T1";;;;;;
11158.25;"USB";"very strange digital";"burst, multi-carrier lead-in, 11PM";;"T1";;;;;;
11175.5;"USB";"FSK";"12AM";;"T1";;;;;;
11306;"USB";"HFDL";"Guam GS-16, 9PM";;"T1";;;;;;
11312;"USB";"HFDL";"HI USA GS-02, 9PM";;"T1";;;;;;
11318;"USB";"HFDL";"Bolivia GS-13, 5PM";;"T1";;;;;;
11444.3;"USB";"STANAG";"8AM";;"T1";;;;;;
11468;"CW";"FSK";"11PM";;"T1";;;;;;
11468.5;"USB";"FSK";"10PM";;"T1";;;;;;
11469.5;"USB";"FSK";"10PM";;"T1";;;;;;
11472;"USB";"STANAG 4529";"2AM";;"T1";;;;;;
11474.5;"USB";"FSK";"10PM";;"T1";;;;;;
11500;"USB";"FSK";"11PM";;"T1";;;;;;
11775;"AMN";"*";;;;;;;;;
11925;"AMN";"*";;;;;;;;;
11945;"AM";"R. Australia";;;"T1";;;;;;
12119;"USB";"FSK";"6PM";;"T1";;;;;;
12145;"USB";"FUJ New Caledonia";"STANAG 4285, 1PM";;"T1";;;;;;
12152;"CW";"CW";"11PM";;"T1";;;;;;
12164;"USB";"FSK";"10PM";;"T1";;;;;;
12198;"CW";"FSK";"11PM";;"T1";;;;;;
12256;"CW";"FSK";"1030PM";;"T1";;;;;;
12328;"CW";"CW";"1040PM";;"T1";;;;;;
12336;"USB";"FSK";"9PM";;"T1";;;;;;
12359.7;"USB";"8-chan FSK JPN";"11PM";;"T1";;;;;;
12362;"USB";"VMW AUS";"marine weather, 3AM";;"T1";;;;;;
12365;"USB";"VMC AUS";"marine weather, 10PM";;"T1";;;;;;
12370;"CW";"SITOR";"11PM";;"T1";;;;;;
12384.5;"USB";"8-chan FSK JPN";"11PM";;"T1";;;;;;
12409.4;"CW";"SITOR";"11PM";;"T1";;;;;;
12435;"USB";"STANAG 4197";"4-tone + burst, 11PM";;"T1";;;;;;
12455;"USB";"OTHR";"30 kHz wide, 11PM";;"T1";;;;;;
12456;"CW";"beeping";"1037PM";;"T1";;;;;;
12510.5;"CW";"SITOR";"11PM";;"T1";;;;;;
12519;"CW";"SITOR";"11PM";;"T1";;;;;;
12557;"CW";"SITOR";"2AM";;"T1";;;;;;
12577;"CW";"intermittent Sitor";"11PM";;"T1";;;;;;
12579;"CW";"FSK";"10PM";;"T1";;;;;;
12581;"USB";"XSV CHN";"10PM";;"T1";;;;;;
12581;"USB";"WLO USA";"10PM";;"T1";;;;;;
12583.2;"CW";"XSV CHN";"10PM";;"T1";;;;;;
12590;"CW";"FSK";"11PM";;"T1";;;;;;
12612;"USB";"XSQ CHN";"10PM";;"T1";;;;;;
12621.5;"CW";"SITOR";;;"T1";;;;;;
12622.4;"CW";"XSQ CHN";"10PM";;"T1";;;;;;
12629;"CW";"TAH TUR";"8PM";;"T1";;;;;;
12636.5;"USB";"XSG CHN";"10PM";;"T1";;;;;;
12647.5;"USB";"XSQ CHN";"10PM";;"T1";;;;;;
12654;"CW";"TAH TUR";"8PM";;"T1";;;;;;
12665;"USB";"FUG12 FRA";"STANAG 4285, 5PM";;"T1";;;;;;
12678.5;"USB";"VZX Pactor";"Sailmail AUS, 11PM";;"T1";;;;;;
12693.8;"USB";"STANAG";"10PM";;"T1";;;;;;
12700;"USB";"FSK";"6PM";;"T1";;;;;;
12701.5;"USB";"FSK";"11PM";;"T1";;;;;;
12705;"CW";"FSK";"11PM";;"T1";;;;;;
12707;"CW";"CW";"11PM";;"T1";;;;;;
12707.5;"CW";"SITOR";"10PM";;"T1";;;;;;
12724;"CW";"FSK";"9PM";;"T1";;;;;;
12724.3;"USB";"STANAG";"5PM";;"T1";;;;;;
12733.5;"USB";"CIS-12 RUS";"11PM";;"T1";;;;;;
12741;"USB";"FSK";"10PM";;"T1";;;;;;
12741.3;"USB";"STANAG";"12AM";;"T1";;;;;;
12744;"USB";"JJC FAX";"KYODO news FAX, Tokyo JPN, 11PM";;"T1";;;;;;
12759.8;"USB";"8-chan FSK JPN";"11PM";;"T1";;;;;;
12766.75;"USB";"STANAG";"8PM";;"T1";;;;;;
12777;"CW";"FSK";"11PM";;"T1";;;;;;
12785;"USB";"FAX NMC";"9PM";;"T1";;;;;;
12799.5;"CW";"SITOR";"10PM";;"T1";;;;;;
12804;"CW";"FSK";"11PM";;"T1";;;;;;
12810;"USB";"STANAG 4529";"9AM";;"T1";;;;;;
12813.4;"CW";"FSK";"9AM";;"T1";;;;;;
12839;"USB";"FSK";"10PM";;"T1";;;;;;
12843;"CW";"HLO KOR";;;"T1";;;;;;
12873.9;"USB";"STANAG";"12AM";;"T1";;;;;;
12916.5;"CW";"HLF KOR";;;"T1";;;;;;
12923;"CW";"HLW2 KOR";;;"T1";;;;;;
12924;"USB";"8-chan FSK JPN";"11PM";;"T1";;;;;;
12931;"USB";"STANAG";"9PM";;"T1";;;;;;
12935;"CW";"HLG KOR";;;"T1";;;;;;
12937.8;"USB";"STANAG";"7PM";;"T1";;;;;;
12942.1;"USB";"STANAG";"loud, 8AM";;"T1";;;;;;
12974;"USB";"MPX";"5PM";;"T1";;;;;;
12983;"USB";"STANAG";"5PM";;"T1";;;;;;
12997;"CW";"FSK";"1040PM";;"T1";;;;;;
13012;"CWN";"AQP2 PAK";"CW-ID, 12AM";;"T1";;;;;;
13019;"CW";"HEB CHE";"3AM";;"T1";;;;;;
13026;"CW";"SITOR";"11PM";;"T1";;;;;;
13035.3;"USB";"CIS-12 RUS";"10PM";;"T1";;;;;;
13042.3;"USB";"STANAG";"3AM";;"T1";;;;;;
13057.7;"USB";"STANAG";"3AM";;"T1";;;;;;
13067;"USB";"FSK";"9PM";;"T1";;;;;;
13073;"USB";"FAX";"9PM";;"T1";;;;;;
13107;"USB";"XSQ Radiotelephone";"Guangzhou Coast Radio CHN, 1AM";;"T1";;;;;;
13110;"USB";"VOLMET";"10PM";;"T1";;;;;;
13149;"USB";"XSQ Radiotelephone";"Guangzhou Coast Radio CHN, 10PM";;"T1";;;;;;
13154;"CW";"FSK";"10PM";;"T1";;;;;;
13182;"USB";"XSQ Radiotelephone";"Guangzhou Coast Radio CHN, 1AM";;"T1";;;;;;
13261;"USB";"MWARA SP";"Major World Air Route Areas, South Pacific";;"T1";;;;;;
13270;"USB";"VOLMET";"Gander / NYC, 10PM";;"T1";;;;;;
13270;"USB";"HFDL";"Thailand GS-06, 11PM";;"T1";;;;;;
13282;"USB";"VOLMET";"Auckland, Hong Kong, Honolulu, Tokyo, Beijing";;"T1";;;;;;
13300;"USB";"MWARA";"9PM";;"T1";;;;;;
13306;"USB";"MWARA";"9PM";;"T1";;;;;;
13312;"USB";"HFDL";"9PM";;"T1";;;;;;
13324;"USB";"HFDL";"10PM";;"T1";;;;;;
13351;"USB";"HFDL";"2PM";;"T1";;;;;;
13389;"USB";"FSK";"11PM";;"T1";;;;;;
13404;"CW";"SITOR tone";"continuous tone, 11PM";;"T1";;;;;;
13422;"CW";"FSK";"intermittent, 11PM";;"T1";;;;;;
13434;"USB";"FSK";"11PM";;"T1";;;;;;
13438;"USB";"STANAG 4529";"1PM";;"T1";;;;;;
13440;"USB";"FSK";"1PM";;"T1";;;;;;
13440.5;"USB";"STANAG";"11PM";;"T1";;;;;;
13489;"USB";"FSK";"11PM";;"T1";;;;;;
13491.5;"USB";"strange digital";"wide, different modes, intermittent, 11PM";;"T1";;;;;;
13522.3;"USB";"CIS-12 RUS";"10PM";;"T1";;;;;;
13527.7;"CWN";"D marker";"Sevastopol RUS, 2AM";;"T1";;;;;;
13528;"CWN";"C marker";"Moscow RUS, 1AM";;"T1";;;;;;
13528.2;"CWN";"F marker";"Vladivostok RUS, 8PM";;"T1";;;;;;
13528.4;"CWN";"M marker";"Magadan RUS, 10PM";;"T1";;;;;;
13561;"LSB";"RFID";"24/7";;"T1";;;;;;
13569;"USB";"FAX";"10PM";;"T1";;;;;;
13630;"AM";"R. Australia";;;"T1";;;;;;
13645;"AMN";"*";;;;;;;;;
13710;"AMN";"*";;;;;;;;;
13760;"AMN";"*";;;;;;;;;
13770;"AMN";"*";;;;;;;;;
13790;"AMN";"*";;;;;;;;;
13830;"AMN";"*";;;;;;;;;
13869;"USB";"FSK";"4PM";;"T1";;;;;;
13870;"AMN";"*";;;;;;;;;
13880.7;"LSB";"wide multi-tone modem";"hi-side pilot tone, 10PM";;"T1";;;;;;
13881;"USB";"DDK6 FAX";"GER, 10PM";;"T1";;;;;;
13919;"USB";"FAX VMC AUS";"12PM";;"T1";;;;;;
13945;"CW";"CW";"11PM";;"T1";;;;;;
13956;"CW";"CW";"1045PM";;"T1";;;;;;
13984;"USB";"alternating FSK tones";"have never seen FSK here, 11PM";;"T1";;;;;;
13987.5;"USB";"FAX";"10PM";;"T1";;;;;;
13989.3;"USB";"FSK";"also alt short/long tones, 10PM";;"T1";;;;;;
13993.8;"USB";"FSK";"also alt short/long tones, 10PM";;"T1";;;;;;
14070.15;"USB";"PSK31";;;"T2";;;;;;
14076;"USB";"JT65";;;"T2";;;;;;
14095.6;"USB";"WSPR";;;"T2";;;;;;
14100;"CW";"IBP";"NCDXF/IARU international beacon project";;;;;;;;
14300;"USB";"PACSEA net";"0300/0325Z daily";;"T1";;;;;;
14300.2;"USB";"OFDM30 CHN";"beeping idler, see iarums-r1.org, 12AM";;"T1";;;;;;
14373.5;"USB";"FSK";"7PM";;"T1";;;;;;
14406;"CW";"FSK";"10PM";;"T1";;;;;;
14411;"CW";"RDL FSK";"RUS, 10PM";;"T1";;;;;;
14432.8;"USB";"FSK";"11AM";;"T1";;;;;;
14466;"USB";"FSK";"5PM";;"T1";;;;;;
14484;"USB";"FSK";"9PM";;"T1";;;;;;
14502;"USB";"FSK";"10PM";;"T1";;;;;;
14507.3;"USB";"CIS-12 RUS";"7PM";;"T1";;;;;;
14518;"USB";"STANAG 4529";"BW < 1 kHz, 8PM";;"T1";;;;;;
14520;"USB";"FSK";"11PM";;"T1";;;;;;
14540;"USB";"PACTOR";"1AM";;"T1";;;;;;
14600;"USB";"STANAG";"8PM";;"T1";;;;;;
14646;"CW";"CW";"11PM";;"T1";;;;;;
14646.1;"USB";"CIS-12 RUS";"11PM";;"T1";;;;;;
14653.5;"USB";"FSK";"11PM";;"T1";;;;;;
14655;"CW";"FSK";"9PM";;"T1";;;;;;
14670;"USB";"CHU CAN";"time signal";;"T1";;;;;;
14705.3;"USB";"STANAG";"6PM";;"T1";;;;;;
14722.5;"USB";"STANAG";"9PM";;"T1";;;;;;
14760.25;"USB";"STANAG 4415?";"3PM";;"T1";;;;;;
14776.3;"USB";"WGY FEMA ALE";"1230AM";;"T1";;;;;;
14780;"CW";"FSK";"10PM";;"T1";;;;;;
14829;"USB";"FSK";"9PM";;"T1";;;;;;
14886;"USB";"FSK";"7PM";;"T1";;;;;;
14960;"CW";"FSK";"10PM";;"T1";;;;;;
14974;"CW";"FSK";"10PM";;"T1";;;;;;
14975;"USB";"FSK";"weak, 9PM";;"T1";;;;;;
14996;"CWN";"RWM RUS";"time signal, 8PM";;"T1";;;;;;
15000;"AM";"WWVH / WWV";"time signals";;"T1";;;;;;
15000;"AM";"BPM";"time signal";;"T1";;;;;;
15028.8;"USB";"wide multi-tone modem";"11PM";;"T1";;;;;;
15160;"AM";"R. Australia";;;"T1";;;;;;
15240;"AM";"R. Australia";;;"T1";;;;;;
15415;"AM";"R. Australia";;;"T1";;;;;;
15520;"CW";"FSK";"9PM";;"T1";;;;;;
15600;"USB";"FSK";"7PM";;"T1";;;;;;
15614;"USB";"VMW FAX";"AUS, 9PM";;"T1";;;;;;
15658;"CW";"FSK";"9PM";;"T1";;;;;;
15720;"AM";"R. New Zealand";;;"T1";;;;;;
15745;"USB";"DRM";"10AM, 4PM";;"T1";;;;;;
15768;"CW";"FSK";"11PM";;"T1";;;;;;
15856;"USB";"narrow digital";"5PM";;"T1";;;;;;
15859.4;"CW";"FSK";"5PM";;"T1";;;;;;
15869;"USB";"FSK";"12AM";;"T1";;;;;;
15938.5;"USB";"FSK";"7PM";;"T1";;;;;;
15958;"USB";"FSK";"4PM";;"T1";;;;;;
15986.5;"USB";"FSK";"11PM";;"T1";;;;;;
16001.8;"CW";"SITOR";"11PM";;"T1";;;;;;
16002.3;"USB";"CIS-12 RUS";"9PM";;"T1";;;;;;
16021.5;"USB";"SITOR?";"9PM";;"T1";;;;;;
16030.9;"CWN";"CW";"12AM";;"T1";;;;;;
16034;"USB";"FAX";"11PM";;"T1";;;;;;
16122;"USB";"FSK";"1AM";;"T1";;;;;;
16134;"USB";"FAX";"12PM";;"T1";;;;;;
16175;"USB";"FSK";"9PM";;"T1";;;;;;
16175.3;"USB";"6-tone FSK";"9PM";;"T1";;;;;;
16179;"USB";"FSK";"9PM";;"T1";;;;;;
16200;"USB";"FSK";"11PM";;"T1";;;;;;
16207;"CW";"FSK";"11PM";;"T1";;;;;;
16241;"USB";"freq hop";"9PM";;"T1";;;;;;
16332;"CWN";"C marker";"Moscow RUS, 10PM";;"T1";;;;;;
16342;"USB";"STANAG";"11PM";;"T1";;;;;;
16368;"CW";"GPS clock spur";;;"T2";;;;;;
16438;"USB";"STANAG";"4PM";;"T1";;;;;;
16473.5;"USB";"STANAG";"11PM";;"T1";;;;;;
16528;"USB";"VMW AUS";"marine weather, 11PM";;"T1";;;;;;
16546;"USB";"VMC AUS";"marine weather";;"T1";;;;;;
16626;"CW";"CW";"hand keying, 5PM";;"T1";;;;;;
16705;"CWN";"CW";"fast, 4PM";;"T1";;;;;;
16762;"CW";"SITOR";"9PM";;"T1";;;;;;
16789;"USB";"phone patch";"11PM";;"T1";;;;;;
16804.5;"CW";"FSK KHT";"intermittent, 4PM";;"T1";;;;;;
16805.5;"USB";"FAX NMC";"4PM";;"T1";;;;;;
16805.5;"CW";"sitor";"5PM";;"T1";;;;;;
16808;"CW";"FSK";"11PM";;"T1";;;;;;
16809.699;"CW";"XSV CHN";"10PM";;"T1";;;;;;
16854;"CW";"XSQ CHN";"10PM";;"T1";;;;;;
16880;"CW";"XSQ CHN";"1AM";;"T1";;;;;;
16898.5;"CW";"XSG CHN";"7PM";;"T1";;;;;;
16910;"CW";"HLJ KOR";"7PM";;"T1";;;;;;
16912;"CW";"FSK";"7PM";;"T1";;;;;;
16913.5;"USB";"STANAG";"6PM";;"T1";;;;;;
16927;"CW";"FSK";"11PM";;"T1";;;;;;
16941.4;"USB";"CIS-12 RUS";"4PM";;"T1";;;;;;
16958;"USB";"FUJ New Caledonia";"STANAG 4285, 6PM";;"T1";;;;;;
16966.4;"USB";"STANAG";"9PM";;"T1";;;;;;
16967;"USB";"FSK";"8PM";;"T1";;;;;;
16970;"USB";"JJC FAX";"KYODO news FAX, Tokyo JPN, 9PM";;"T1";;;;;;
16976.801;"CWN";"JFM CW";"JPN, 7PM";;"T1";;;;;;
16983.85;"CW";"FSK";"weak, 9PM";;"T1";;;;;;
16990;"CW";"HLO KOR";"7PM";;"T1";;;;;;
17000;"USB";"STANAG 4529";"BW < 1 kHz, 8PM";;"T1";;;;;;
17002;"USB";"FSK";"7PM";;"T1";;;;;;
17058.699;"USB";"MS-188-110";"8PM";;"T1";;;;;;
17063.699;"USB";"STANAG";"9PM";;"T1";;;;;;
17068.5;"USB";"JJC FAX";"KYODO news FAX, Tokyo JPN, 9PM";;"T1";;;;;;
17070.4;"USB";"STANAG";"9PM";;"T1";;;;;;
17097.9;"USB";"STANAG";"4PM";;"T1";;;;;;
17121.4;"USB";"STANAG";"9PM";;"T1";;;;;;
17130;"CW";"HLW KOR";"7PM";;"T1";;;;;;
17136;"USB";"STANAG";"9PM";;"T1";;;;;;
17150;"USB";"FAX NMC";"3PM";;"T1";;;;;;
17207.5;"CW";"HEB CHE";"9PM";;"T1";;;;;;
